loc,year,mo,da,adt,juv,unkn,roll. Frame,photoN,notes,date,DOY,Zone,valid,seq,total,PR(juv),juv2,tot2,juvtot,,,,,
CINDER,1985,10,2,26,5,0,,,,10/2/1985,275,3,1,1,31,0.161290323,25,961,155,,,,,
CINDER,1985,10,2,17,3,0,,,,10/2/1985,275,3,1,2,20,0.15,9,400,60,,,,,
CINDER,1985,10,10,8,2,0,,,,10/10/1985,283,3,1,3,10,0.2,4,100,20,,,,,
CINDER,1985,10,10,18,7,0,,,,10/10/1985,283,3,1,4,25,0.28,49,625,175,,,,,
CINDER,1985,10,10,33,0,0,,,,10/10/1985,283,3,1,5,33,0,0,1089,0,,,,,
CINDER,1985,10,10,14,0,0,,,,10/10/1985,283,3,1,6,14,0,0,196,0,,,,,
CINDER,1985,10,10,25,0,0,,,,10/10/1985,283,3,1,7,25,0,0,625,0,,,,,
CINDER,1985,10,10,10,1,0,,,,10/10/1985,283,3,1,8,11,0.090909091,1,121,11,,,,,
CINDER,1985,10,10,29,0,0,,,,10/10/1985,283,3,1,9,29,0,0,841,0,,,,,
CINDER,1985,10,10,4,0,0,,,,10/10/1985,283,3,1,10,4,0,0,16,0,,,,,
CINDER,1985,10,10,7,1,0,,,,10/10/1985,283,3,1,11,8,0.125,1,64,8,,,,,
CINDER,1985,10,10,37,0,0,,,,10/10/1985,283,3,1,12,37,0,0,1369,0,,,,,
CINDER,1985,10,10,35,2,0,,,,10/10/1985,283,3,1,13,37,0.054054054,4,1369,74,,,,,
CINDER,1985,10,10,25,2,0,,,,10/10/1985,283,3,1,14,27,0.074074074,4,729,54,,,,,
CINDER,1985,10,10,17,6,0,,,,10/10/1985,283,3,1,15,23,0.260869565,36,529,138,,,,,
HEIDEN,1985,10,10,7,11,0,,,,10/10/1985,283,4,1,16,18,0.611111111,121,324,198,,,,,
HEIDEN,1985,10,10,6,11,0,,,,10/10/1985,283,4,1,17,17,0.647058824,121,289,187,,,,,
HEIDEN,1985,10,10,46,9,0,,,,10/10/1985,283,4,1,18,55,0.163636364,81,3025,495,,,,,
HEIDEN,1985,10,10,63,3,0,,,,10/10/1985,283,4,1,19,66,0.045454545,9,4356,198,,,,,
SEAL,1985,10,2,33,2,0,,,,10/2/1985,275,5,1,20,35,0.057142857,4,1225,70,,,,,
SEAL,1985,10,2,12,0,0,,,,10/2/1985,275,5,1,21,12,0,0,144,0,,,,,
SEAL,1985,10,2,18,0,0,,,,10/2/1985,275,5,1,22,18,0,0,324,0,,,,,
SEAL,1985,10,2,25,3,0,,,,10/2/1985,275,5,1,23,28,0.107142857,9,784,84,,,,,
SEAL,1985,10,2,16,0,0,,,,10/2/1985,275,5,1,24,16,0,0,256,0,,,,,
SEAL,1985,10,2,5,12,0,,,,10/2/1985,275,5,1,25,17,0.705882353,144,289,204,,,,,
SEAL,1985,10,2,26,19,0,,,,10/2/1985,275,5,1,26,45,0.422222222,361,2025,855,,,,,
